"id","question_id","category_id","question","explanation","correct_answer","incorrect_1","incorrect_2"
1,1,1,"People who do not believe in God are called","They are called 'atheists'","Atheists","Theists","Agnostics"
2,1,1,"People who do not completely reject the idea of God, but do say it is impossible to prove God exists are often called?","Agnostics are people who believe that nothing is known or can be known of the existence or nature of God.","Agnostics","Atheists","Theists"
3,1,1,"People who believe in God are called","Theists","Theists","Agnostics","Atheists"
4,1,1,"Christians are monotheists. What does this mean?","It means they believe there is only one God","They believe there is only one God","They don't believe in God","They believe there are two Gods"
5,1,1,"The God of the Jewish people found in the Jewish Scriptures and the God of the Christian Old Testament is one God. True or False?","TRUE","TRUE","FALSE","Neither"
6,1,1,"In Christianity, the Trinity is a way of describing the three ways of being God, these are:","God the Father, God the Son and God the Holy Spirit.","God the Father, God the Son and God the Holy Spirit.","God the Big, God the Middle and God the little","God the Mother, God the Son and God the Lad"
7,1,1,"When God is described as 'God the Son', this refers to the Christian belief that God chose to come to earth as a human being. What was his name?","Jesus. He was born of Mary","Jesus","Gena Pile","Ralph"
8,1,1,"Jesus was put to death on the cross. This was called:","Crucifixion","Crucifixion","Killification","Deathification"
9,1,1,"Christians believe that after being placed in a tomb, Jesus rose from the dead on the third day. What is this called?","Resurrection","Resurrection","Crucifixion","Undertaker Situp"
10,1,1,"The cross is an important symbol to Christians, why?","Jesus died on a cross. He chose to die because he wanted o save humanity.","Jesus died on a cross","The letter T stands for 'Truth'","The cross symbol keeps vampires away"
11,2,2,"According to Christianity, which of these did God give to people?","Free will is the ability to choose what you do, even if it is not the way God has shown you to live your life","Free Will","A will to only ever do good things","A will to only ever do bad things"
12,2,2,"In Christianity, Adam and Eve chose to disobey God by doing what?","They ate from the fruit of the knowledge tree","eating from the fruit of the knowledge true","Swimming the the lake of truth","Climbing Mount Doom"
13,2,2,"In Christianity, who is Satan","Satan is an archangel who disobeyed God and thrown out of heaven.","An archangel who was thrown out of Heaven","A man who dug his way to hell","An angel who flew in to the sun"
14,2,2,"Christians can escape punishment after death by","Asking God for forgiveness","Asking God for forgiveness","Never killing","Never breaking the 10 commandments"
15,2,2,"Christians say the bible has","Moral and spiritual truth","Moral and spiritual truth","more pages than any other book","historical truth"
